AnimalID,Collar,Pen,Placement,Removal,"Lambing Time","Lambing Time(2nd)","Lambing Time(3rd)",Lambing Type,First lambing,Camera,Elapsed time,Filme(s) filename,Treat Data @WISEWARE,Assistance,Comments,Problems,,
20333,D4FB2267FEE3,1,23/4/24 2:00 PM,27/5/24 2:51 PM,22/05/2024 22:01:36,22/05/2024 23:56:36,,Double,Y,CH1,1:55,,YES @24-05-2024,,Natural,,POS_01_D4FB2267FEE3_2024-05-22T22.01.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_01_D4FB2267FEE3_2024-05-22T22.01.00+02.00_2__annotated_class_all.csv '22/05/2024 22:01:36'  '22/05/2024 23:56:36' ;
0022,EFFB68709EC6,2,23/4/24 2:00 PM,8/5/24 2:31 PM,04/05/2024 21:55:26,04/05/2024 22:29:00,,Double,,CH1,0:33,Pen02_Chan01_Lambing240504_215526_222900,YES,Second,"First natural, second with help",none,POS_02_EFFB68709EC6_2024-05-04T21.55.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_02_EFFB68709EC6_2024-05-04T21.55.00+02.00_2__annotated_class_all.csv '04/05/2024 21:55:26'  '04/05/2024 22:29:00' ;
20024,EFFB68709EC6,2,8/5/24 3:10 PM,21/5/24 9:43 AM,16/05/2024 19:29:30,16/05/2024 19:45:08,,Double,,CH1,0:15,,YES @17-05-2024,,Both natural,,POS_02_EFFB68709EC6_2024-05-16T19.29.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_02_EFFB68709EC6_2024-05-16T19.29.00+02.00_2__annotated_class_all.csv '16/05/2024 19:29:30'  '16/05/2024 19:45:08' ;
0182,F32F1EAC1A03,3,23/4/24 2:00 PM,30/4/24 9:39 PM,29/04/2024 03:09:06,29/04/2024 03:11:08,,Double,,CH2,0:02,Pen03_Chan02_Lambing240429_030906_031108,YES,Both,"First assisted, second assisted; SN ""I corrected the date from 28/4/24 to 29/4/24 for lambing the time was correct, correction was done 30/4/24 at 4:45pm. Currently exporting videos and saw the mistake!""",none,POS_03_F32F1EAC1A03_2024-04-29T03.09.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_03_F32F1EAC1A03_2024-04-29T03.09.00+02.00_2__annotated_class_all.csv '29/04/2024 03:09:06'  '29/04/2024 03:11:08' ;
20360,F32F1EAC1A03,3,30/4/24 10:04 PM,8/5/24 2:31 PM,04/05/2024 09:37:21,,,Single,,CH2,###############################################################################################################################################################################################################################################################,Pen03_Chan02_Lambing240504_093721_,YES,First,"Asisted; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/03/2024  1:34:00 PM""; SN Changed date of lambing from 5/5/24 to 4/5/24, corrected 5/5/24 16:33 ",InvCollar,POS_03_F32F1EAC1A03_2024-05-04T09.37.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_03_F32F1EAC1A03_2024-05-04T09.37.00+02.00_1__annotated_class_all.csv '04/05/2024 09:37:21'  '04/05/2024 09:37:21' ;
10345,F32F1EAC1A03,3,8/5/24 3:10 PM,10/5/24 7:36 PM,09/05/2024 10:04:50,09/05/2024 10:12:05,,Double,,CH2,0:07,,YES,,"Aided, intervention from 10:04:05",,POS_03_F32F1EAC1A03_2024-05-09T10.04.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_03_F32F1EAC1A03_2024-05-09T10.04.00+02.00_2__annotated_class_all.csv '09/05/2024 10:04:50'  '09/05/2024 10:12:05' ;
20428,F32F1EAC1A03,3,10/5/24 9:00 PM,21/5/24 9:43 AM,13/05/2024 16:08:00,13/05/2024 16:46:00,13/05/2024 16:47:00,Triple,,CH2,0:38,,YES @13-05-2024,,"Farm managers notes ""expecting three lambs"", all with help",,POS_03_F32F1EAC1A03_2024-05-13T16.08.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_03_F32F1EAC1A03_2024-05-13T16.08.00+02.00_3__annotated_class_all.csv '13/05/2024 16:08:00'  '13/05/2024 16:47:00' ;
10435,D25FB6929885,4,23/4/24 2:00 PM,10/5/24 7:36 PM,07/05/2024 18:41:59,07/05/2024 20:00:00,,Double,,CH2,1:18,,YES,Second,"Farm managers notes ""only one lamb is expected"", First natural, second aided",none,POS_04_D25FB6929885_2024-05-07T18.41.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_06_E67E79D0D2F7_2024-05-10T19.26.00+02.00_1__annotated_class_all.csv '10/05/2024 19:26:00'  '10/05/2024 19:26:00' ;
10244,D25FB6929885,4,10/5/24 9:00 PM,16/5/24 2:51 PM,13/05/2024 04:12:00,13/05/2024 05:12:00,,Double,,CH2,1:00,,YES @13-05-2024,,"Farm managers notes ""expecting two lambs""",,POS_04_D25FB6929885_2024-05-13T04.12.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_04_D25FB6929885_2024-05-13T04.12.00+02.00_2__annotated_class_all.csv '13/05/2024 04:12:00'  '13/05/2024 05:12:00' ;
0268,C93786F37B57,5,23/4/24 2:00 PM,29/4/24 2:00 PM,26/04/2024 11:51:15,26/04/2024 12:11:43,,Double,,CH3,0:20,Pen05_Chan03_Lambing240426_115115_121143,YES,First,"first assisted, second natural",none,POS_05_C93786F37B57_2024-04-26T11.51.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_05_C93786F37B57_2024-04-26T11.51.00+02.00_2__annotated_class_all.csv '26/04/2024 11:51:15'  '26/04/2024 12:11:43' ;
