sample_rate,window_minutes,binary_model,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_mcc,binary_threshold,binary_size_kb,multiclass_model,multiclass_accuracy,multiclass_precision,multiclass_recall,multiclass_f1,multiclass_mcc,combined_accuracy,combined_precision,combined_recall,combined_f1,combined_mcc
0.5Hz,15,RandomForestClassifier,0.911501,0.981508,0.981545,0.903926,0.833432,,200195.732422,ExtraTreesClassifier,0.992943,0.993596,0.993577,0.992943,0.992379,0.908642,0.981270,0.981225,0.907435,0.874235
0.5Hz,30,RandomForestClassifier,0.942712,0.988160,0.988190,0.939620,0.890102,,180961.826172,ExtraTreesClassifier,0.996168,0.996431,0.996428,0.996168,0.995862,0.941136,0.988012,0.988014,0.940605,0.919278
0.5Hz,45,RandomForestClassifier,0.963614,0.992160,0.992146,0.962406,0.929147,,244834.169922,ExtraTreesClassifier,0.997158,0.997343,0.997341,0.997158,0.996931,0.962345,0.992061,0.992004,0.962131,0.948431
0.5Hz,60,RandomForestClassifier,0.973405,0.994181,0.994168,0.972769,0.947847,,224604.794922,ExtraTreesClassifier,0.997768,0.997898,0.997897,0.997768,0.997590,0.972415,0.994114,0.994057,0.972284,0.962246
0.5Hz,75,RandomForestClassifier,0.978512,0.995367,0.995362,0.978097,0.957714,,208395.888672,ExtraTreesClassifier,0.998050,0.998132,0.998131,0.998050,0.997894,0.977598,0.995303,0.995260,0.977523,0.969349
0.5Hz,90,RandomForestClassifier,0.983012,0.996368,0.996366,0.982753,0.966461,,195424.638672,ExtraTreesClassifier,0.998204,0.998296,0.998296,0.998204,0.998061,0.982190,0.996305,0.996274,0.982141,0.975638
0.5Hz,105,RandomForestClassifier,0.985114,0.996848,0.996848,0.984915,0.970567,,247416.669922,ExtraTreesClassifier,0.998414,0.998495,0.998495,0.998414,0.998287,0.984382,0.996787,0.996766,0.984342,0.978640
0.5Hz,120,RandomForestClassifier,0.987283,0.997342,0.997343,0.987138,0.974817,,235213.388672,ExtraTreesClassifier,0.998511,0.998575,0.998575,0.998511,0.998392,0.986597,0.997281,0.997266,0.986566,0.981671
0.5Hz,135,RandomForestClassifier,0.990385,0.997882,0.997880,0.990303,0.980910,,227123.388672,ExtraTreesClassifier,0.998735,0.998796,0.998796,0.998735,0.998634,0.989806,0.997830,0.997815,0.989788,0.986060
0.5Hz,150,RandomForestClassifier,0.991604,0.998126,0.998124,0.991542,0.983314,,217093.076172,ExtraTreesClassifier,0.998702,0.998739,0.998739,0.998702,0.998599,0.990979,0.998066,0.998054,0.990964,0.987665
0.5Hz,165,RandomForestClassifier,0.991686,0.998286,0.998286,0.991623,0.983480,,82032.601562,ExtraTreesClassifier,0.998670,0.998749,0.998748,0.998670,0.998564,0.991067,0.998224,0.998217,0.991056,0.987787
0.5Hz,180,RandomForestClassifier,0.993191,0.998593,0.998593,0.993149,0.986455,,202071.513672,ExtraTreesClassifier,0.998816,0.998874,0.998874,0.998816,0.998721,0.992634,0.998537,0.998531,0.992626,0.989929
1Hz,15,RandomForestClassifier,0.956592,0.985698,0.984424,0.955188,0.914982,,133626.201172,ExtraTreesClassifier,0.997095,0.997379,0.997376,0.997095,0.996862,0.955348,0.985781,0.984285,0.955134,0.938640
1Hz,30,RandomForestClassifier,0.977187,0.991197,0.990590,0.976838,0.954809,,115157.521484,ExtraTreesClassifier,0.998251,0.998402,0.998401,0.998251,0.998111,0.976410,0.991256,0.990503,0.976340,0.967662
1Hz,45,RandomForestClassifier,0.985688,0.994822,0.994646,0.985542,0.971574,,69271.976562,ExtraTreesClassifier,0.998697,0.998794,0.998793,0.998697,0.998593,0.985097,0.994852,0.994580,0.985065,0.979597
1Hz,60,RandomForestClassifier,0.989121,0.995429,0.995255,0.989046,0.978336,,100409.164062,ExtraTreesClassifier,0.998939,0.998988,0.998988,0.998939,0.998854,0.988622,0.995478,0.995199,0.988603,0.984427
1Hz,75,RandomForestClassifier,0.992005,0.996181,0.996040,0.991968,0.984050,,93317.297852,ExtraTreesClassifier,0.999084,0.999126,0.999126,0.999084,0.999011,0.991572,0.996214,0.995992,0.991559,0.988468
1Hz,90,RandomForestClassifier,0.993855,0.996604,0.996476,0.993836,0.987726,,50722.601562,ExtraTreesClassifier,0.999108,0.999160,0.999160,0.999108,0.999037,0.993441,0.996635,0.996430,0.993435,0.991028
1Hz,105,RandomForestClassifier,0.994843,0.996985,0.996880,0.994831,0.989696,,47159.476562,ExtraTreesClassifier,0.999237,0.999262,0.999262,0.999237,0.999176,0.994475,0.997014,0.996839,0.994472,0.992444
1Hz,120,RandomForestClassifier,0.995869,0.997413,0.997332,0.995862,0.991744,,44883.070312,ExtraTreesClassifier,0.999217,0.999266,0.999266,0.999217,0.999155,0.995505,0.997432,0.997291,0.995503,0.993853
1Hz,135,RandomForestClassifier,0.996276,0.997390,0.997301,0.996272,0.992555,,63513.539062,ExtraTreesClassifier,0.999393,0.999411,0.999411,0.999393,0.999345,0.995985,0.997416,0.997268,0.995983,0.994510
1Hz,150,RandomForestClassifier,0.996806,0.997807,0.997745,0.996803,0.993615,,35442.601562,ExtraTreesClassifier,0.999383,0.999397,0.999397,0.999383,0.999334,0.996507,0.997815,0.997711,0.996506,0.995224
1Hz,165,RandomForestClassifier,0.997010,0.997738,0.997668,0.997008,0.994022,,34169.007812,ExtraTreesClassifier,0.999436,0.999447,0.999447,0.999436,0.999391,0.996734,0.997747,0.997637,0.996734,0.995536
1Hz,180,RandomForestClassifier,0.997181,0.997783,0.997714,0.997179,0.994362,,38159.007812,ExtraTreesClassifier,0.999433,0.999446,0.999446,0.999433,0.999388,0.996904,0.997795,0.997683,0.996904,0.995768
2Hz,15,RandomForestClassifier,0.963939,0.987449,0.986368,0.963004,0.929063,,17572.676758,ExtraTreesClassifier,0.996712,0.997039,0.997036,0.996712,0.996450,0.962527,0.987474,0.986210,0.962410,0.948540
2Hz,30,RandomForestClassifier,0.979201,0.993069,0.992797,0.978878,0.958851,,13837.989258,ExtraTreesClassifier,0.998061,0.998242,0.998241,0.998061,0.997906,0.978351,0.993064,0.992702,0.978310,0.970342
2Hz,45,RandomForestClassifier,0.985256,0.993340,0.992918,0.985128,0.970657,,13042.667969,ExtraTreesClassifier,0.998684,0.998799,0.998799,0.998684,0.998579,0.984667,0.993364,0.992852,0.984649,0.978999
2Hz,60,RandomForestClassifier,0.988933,0.995640,0.995497,0.988851,0.977973,,11692.734375,ExtraTreesClassifier,0.998879,0.998963,0.998963,0.998879,0.998789,0.988419,0.995654,0.995439,0.988408,0.984150
2Hz,75,RandomForestClassifier,0.991422,0.996211,0.996085,0.991377,0.982899,,10287.650391,ExtraTreesClassifier,0.999033,0.999099,0.999099,0.999033,0.998956,0.990978,0.996221,0.996035,0.990971,0.987655
2Hz,90,RandomForestClassifier,0.992545,0.996695,0.996587,0.992517,0.985017,,9874.912109,ExtraTreesClassifier,0.999156,0.999212,0.999212,0.999156,0.999087,0.992151,0.996707,0.996539,0.992142,0.989232
2Hz,105,RandomForestClassifier,0.993823,0.997108,0.997024,0.993809,0.987654,,9210.453125,ExtraTreesClassifier,0.999287,0.999328,0.999328,0.999287,0.999232,0.993485,0.997122,0.996981,0.993479,0.991103
2Hz,120,RandomForestClassifier,0.994762,0.997459,0.997391,0.994755,0.989471,,8936.219727,ExtraTreesClassifier,0.999326,0.999362,0.999362,0.999326,0.999274,0.994451,0.997469,0.997349,0.994449,0.992387
