sample_rate,window_minutes,binary_model,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_mcc,binary_threshold,binary_size_kb,multiclass_model,multiclass_accuracy,multiclass_precision,multiclass_recall,multiclass_f1,multiclass_mcc,combined_accuracy,combined_precision,combined_recall,combined_f1,combined_mcc
0.5Hz,15,DecisionTreeClassifier,0.723761,0.940161,0.937943,0.635991,0.510846,,157.183594,ExtraTreesClassifier,0.989999,0.990750,0.990732,0.989998,0.989200,0.721224,0.939865,0.937659,0.702768,0.597333
0.5Hz,30,DecisionTreeClassifier,0.732527,0.941438,0.938457,0.651807,0.524880,,113.902344,ExtraTreesClassifier,0.994710,0.995157,0.995150,0.994710,0.994287,0.731248,0.941369,0.938314,0.715218,0.613353
0.5Hz,45,DecisionTreeClassifier,0.769887,0.946552,0.940087,0.715348,0.584380,,119.682617,ExtraTreesClassifier,0.996232,0.996515,0.996512,0.996232,0.995931,0.768755,0.946521,0.939960,0.759427,0.670795
0.5Hz,60,DecisionTreeClassifier,0.815972,0.953324,0.944018,0.784978,0.659961,,156.870117,ExtraTreesClassifier,0.997027,0.997196,0.997193,0.997027,0.996790,0.814974,0.953324,0.943906,0.810526,0.739317
0.5Hz,75,DecisionTreeClassifier,0.834237,0.956602,0.947514,0.810011,0.691333,,152.027344,ExtraTreesClassifier,0.997155,0.997321,0.997319,0.997155,0.996928,0.833221,0.956556,0.947400,0.829916,0.765952
0.5Hz,90,DecisionTreeClassifier,0.852992,0.959535,0.949912,0.834990,0.723415,,157.339844,ExtraTreesClassifier,0.997697,0.997803,0.997802,0.997697,0.997513,0.852114,0.959529,0.949814,0.849983,0.793139
0.5Hz,105,DecisionTreeClassifier,0.849865,0.959370,0.950419,0.830704,0.718379,,156.401367,ExtraTreesClassifier,0.998026,0.998112,0.998112,0.998026,0.997868,0.849157,0.959414,0.950340,0.846859,0.788973
0.5Hz,120,DecisionTreeClassifier,0.835787,0.957311,0.949001,0.811805,0.694508,,111.245117,ExtraTreesClassifier,0.998105,0.998207,0.998206,0.998105,0.997954,0.835128,0.957343,0.948927,0.832161,0.768819
0.5Hz,135,DecisionTreeClassifier,0.876854,0.964174,0.955587,0.864880,0.765833,,156.558594,ExtraTreesClassifier,0.998377,0.998428,0.998427,0.998377,0.998247,0.876247,0.964249,0.955520,0.875088,0.827665
0.5Hz,150,DecisionTreeClassifier,0.891796,0.966545,0.957727,0.883123,0.792367,,155.932617,ExtraTreesClassifier,0.998432,0.998470,0.998470,0.998432,0.998307,0.891164,0.966656,0.957656,0.890430,0.848747
0.5Hz,165,DecisionTreeClassifier,0.897006,0.967115,0.957792,0.889442,0.801550,,144.213867,ExtraTreesClassifier,0.998117,0.998226,0.998225,0.998117,0.997967,0.896303,0.967209,0.957714,0.895690,0.855971
0.5Hz,180,DecisionTreeClassifier,0.912372,0.970120,0.961545,0.907238,0.829843,,157.183594,ExtraTreesClassifier,0.998225,0.998310,0.998309,0.998225,0.998083,0.911663,0.970221,0.961466,0.911291,0.877598
1Hz,15,DecisionTreeClassifier,0.863677,0.961227,0.951434,0.848733,0.741983,,139.370117,ExtraTreesClassifier,0.995697,0.996105,0.996097,0.995698,0.995353,0.862144,0.961164,0.951263,0.860359,0.807436
1Hz,30,DecisionTreeClassifier,0.910584,0.969483,0.960423,0.905269,0.826387,,145.463867,ExtraTreesClassifier,0.997643,0.997859,0.997858,0.997643,0.997454,0.909647,0.969474,0.960319,0.909130,0.874739
1Hz,45,DecisionTreeClassifier,0.935601,0.974715,0.967306,0.933218,0.873431,,156.714844,ExtraTreesClassifier,0.998288,0.998389,0.998388,0.998288,0.998152,0.934868,0.974729,0.967224,0.934688,0.910065
1Hz,60,DecisionTreeClassifier,0.952108,0.978789,0.973043,0.950952,0.905221,,157.339844,ExtraTreesClassifier,0.998664,0.998727,0.998727,0.998664,0.998557,0.951522,0.978813,0.972978,0.951450,0.933244
1Hz,75,DecisionTreeClassifier,0.961114,0.981911,0.977773,0.960371,0.922877,,157.338867,ExtraTreesClassifier,0.998801,0.998861,0.998861,0.998801,0.998705,0.960574,0.981945,0.977712,0.960526,0.945791
1Hz,90,DecisionTreeClassifier,0.967304,0.983822,0.980405,0.966815,0.935015,,157.183594,ExtraTreesClassifier,0.998817,0.998874,0.998874,0.998817,0.998723,0.966772,0.983841,0.980346,0.966742,0.954360
1Hz,105,DecisionTreeClassifier,0.971308,0.985173,0.982253,0.970950,0.942902,,143.432617,ExtraTreesClassifier,0.998984,0.999018,0.999018,0.998984,0.998903,0.970844,0.985188,0.982201,0.970819,0.959981
1Hz,120,DecisionTreeClassifier,0.975118,0.987306,0.985298,0.974830,0.950486,,157.182617,ExtraTreesClassifier,0.998972,0.999050,0.999050,0.998972,0.998890,0.974662,0.987310,0.985247,0.974644,0.965240
1Hz,135,DecisionTreeClassifier,0.974722,0.986326,0.983788,0.974461,0.949641,,117.495117,ExtraTreesClassifier,0.999054,0.999084,0.999084,0.999054,0.998978,0.974278,0.986350,0.983738,0.974262,0.964714
1Hz,150,DecisionTreeClassifier,0.981485,0.990408,0.989318,0.981320,0.963119,,157.338867,ExtraTreesClassifier,0.999062,0.999085,0.999085,0.999062,0.998988,0.981043,0.990389,0.989269,0.981033,0.974019
1Hz,165,DecisionTreeClassifier,0.983434,0.991653,0.990872,0.983294,0.967003,,157.027344,ExtraTreesClassifier,0.999192,0.999222,0.999222,0.999192,0.999128,0.983058,0.991628,0.990830,0.983052,0.976788
1Hz,180,DecisionTreeClassifier,0.985042,0.992245,0.991558,0.984932,0.970189,,138.901367,ExtraTreesClassifier,0.999261,0.999279,0.999279,0.999261,0.999202,0.984691,0.992220,0.991519,0.984686,0.979032
2Hz,15,DecisionTreeClassifier,0.907775,0.969444,0.961068,0.901889,0.821485,,103.433594,ExtraTreesClassifier,0.995309,0.995773,0.995766,0.995309,0.994935,0.905937,0.969334,0.960863,0.905327,0.869536
2Hz,30,DecisionTreeClassifier,0.940628,0.976124,0.969474,0.938635,0.883121,,71.088867,ExtraTreesClassifier,0.997207,0.997459,0.997458,0.997207,0.996983,0.939462,0.976069,0.969343,0.939300,0.916471
2Hz,45,DecisionTreeClassifier,0.958363,0.980286,0.975046,0.957566,0.917373,,66.401367,ExtraTreesClassifier,0.998114,0.998281,0.998281,0.998114,0.997964,0.957559,0.980277,0.974956,0.957505,0.941619
2Hz,60,DecisionTreeClassifier,0.944893,0.977959,0.972600,0.943119,0.891523,,59.680664,ExtraTreesClassifier,0.998378,0.998504,0.998504,0.998378,0.998249,0.944196,0.977956,0.972522,0.944079,0.923075
2Hz,75,DecisionTreeClassifier,0.974391,0.985442,0.982360,0.974160,0.948935,,40.456055,ExtraTreesClassifier,0.998673,0.998749,0.998749,0.998673,0.998567,0.973790,0.985454,0.982293,0.973777,0.964050
2Hz,90,DecisionTreeClassifier,0.961653,0.981791,0.977468,0.960958,0.923892,,63.742188,ExtraTreesClassifier,0.998808,0.998874,0.998874,0.998808,0.998713,0.961119,0.981828,0.977408,0.961082,0.946545
2Hz,105,DecisionTreeClassifier,0.982045,0.988873,0.987084,0.981943,0.964152,,32.956055,ExtraTreesClassifier,0.998956,0.999016,0.999016,0.998956,0.998873,0.981570,0.988887,0.987031,0.981565,0.974753
2Hz,120,DecisionTreeClassifier,0.983098,0.989216,0.987508,0.983013,0.966243,,30.298828,ExtraTreesClassifier,0.999054,0.999128,0.999128,0.999054,0.998979,0.982673,0.989231,0.987461,0.982668,0.976269
2Hz,135,DecisionTreeClassifier,0.987041,0.991439,0.990389,0.986992,0.974109,,27.799805,ExtraTreesClassifier,0.998770,0.998827,0.998827,0.998770,0.998672,0.986472,0.991422,0.990325,0.986468,0.981481
2Hz,150,DecisionTreeClassifier,0.988114,0.992339,0.991529,0.988068,0.976256,,24.206055,RandomForestClassifier,0.999162,0.999207,0.999207,0.999162,0.999095,0.987728,0.992334,0.991486,0.987725,0.983202
2Hz,165,DecisionTreeClassifier,0.988944,0.992629,0.991865,0.988908,0.977910,,20.452148,ExtraTreesClassifier,0.999194,0.999255,0.999255,0.999194,0.999130,0.988580,0.992619,0.991825,0.988578,0.984371
2Hz,180,DecisionTreeClassifier,0.990263,0.993496,0.992911,0.990234,0.980543,,23.581055,ExtraTreesClassifier,0.999260,0.999310,0.999310,0.999260,0.999201,0.989925,0.993478,0.992874,0.989923,0.986213
